id;name;description;difficulty;category
0;AI for Roguelikes;AI agents to play procedurally generated games;Intermediate;AI/ML
1;ASCII Digital Clock;Digital clock in ASCII art;Beginner;Utilities
2;An Audio or Visual 64KB Demonstration;64KB intro with visuals synced to audio;Advanced;Audio/Music
3;BMI calculator;Body mass index calculator;Beginner;Utilities
4;Basic Bootloader;Bootloader for booting an OS kernel;Intermediate;Computer Science Concepts
5;Basic Neural Network;Simulate a simple neural network;Intermediate;AI/ML
6;Basic Relational Database Software;Simple relational database;Intermediate;Utilities
7;Battleships with AI;Battleship game vs AI;Intermediate;Games
8;Bayesian Filter;Bayesian spam filter;Intermediate;AI/ML
9;Bellman-Ford Simulation with at least Five Vertices;Bellman-Ford algorithm demo;Advanced;Algorithms and Data Structures
10;Benford's law;Analyze data for Benford's law conformity;Intermediate;Math and Physics
11;Binary search;Binary search algorithm;Beginner;Algorithms and Data Structures
12;Bismuth Fractal;Generate bismuth fractal;Intermediate;Computer Graphics
13;Blackjack;Blackjack card game;Intermediate;Games
14;Booru (Image Board) Image Downloader;Download images from an image board site;Intermediate;Web Development
15;Booru Client;Client for downloading from image boards;Intermediate;Web Development
16;Brainfuck interpreter;Interpreter for Brainfuck language;Intermediate;Algorithms and Data Structures
17;Breakout;Clone of Breakout arcade game;Beginner;Games
18;C Compiler;Compiler for C language;Advanced;Algorithms and Data Structures
19;C++ IDE Plugin for Sublime or Atom;Write a plugin for a code editor to support C++;Advanced;Web Development
20;Calculate Dot and Cross Product of Two Vectors;Vector math;Beginner;Math and Physics
21;Calculate age in seconds;Calculate age in seconds;Beginner;Utilities
22;Calculate the first (n) digits of PI;Calculate digits of pi;Intermediate;Math and Physics
23;Calculator the first 1,000 digits of PI iteratively;Calculate pi digits without libraries;Advanced;Math and Physics
24;Ceasar Cipher Cracker;Crack Caesar ciphers;Intermediate;Security and Encryption
25;Cellular Textures;Generate cellular texture;Intermediate;Computer Graphics
26;Chan aggregator;Aggregate content from various chan sites;Intermediate;Web Development
27;Chatbot;Create a conversational chatbot;Intermediate;AI/ML
28;Chess;Chess game;Intermediate;Games
29;Chip-8 Emulator;Emulator for Chip 8 system;Intermediate;Emulators
30;Cipher encryption & decryption tool;Encrypt and decrypt with classical ciphers;Intermediate;Security and Encryption
31;Collatz conjecture;Investigate Collatz conjecture;Intermediate;Algorithms and Data Structures
32;Connect Four;Connect Four game;Beginner;Games
33;Connect-4 AI Player using Alpha-Beta Pruning;AI for Connect 4 using alpha-beta pruning;Advanced;Games
34;Constructive Solid Geometry;Model 3D shapes with constructive solid geometry;Intermediate;Computer Graphics
35;Convolutional Neural Network;ConvNet for image classification;Advanced;AI/ML
36;Conway's Game of Life;Conway's Game of Life simulation;Intermediate;AI/ML
37;Count words in a string;Count words in a string;Beginner;Algorithms and Data Structures
38;Counts occurrences of characters in a Given String;Count character frequency in a string;Beginner;Algorithms and Data Structures
39;Create a Torrent Client;BitTorrent client for distributing files;Advanced;Networking and Communication
40;Create an HSV Color Representation;Display colors using HSV model;Intermediate;Computer Graphics
41;Credential validator;Validate username or password credentials;Beginner;Security and Encryption
42;Crossword game;Crossword puzzle game;Beginner;Games
43;Currency converter;Convert between currencies;Beginner;Utilities
44;Curses Text Editor;Make a text editor using Curses or NCurses;Intermediate;Utilities
45;Custom markup and HTML converter;Convert custom markup to HTML;Intermediate;Web Development
46;Danmaku (Bullet Hell) Engine;Engine for bullet hell games;Advanced;Games
47;Define, translate & rotate a polygon;Polygon transformations;Intermediate;Computer Graphics
48;Design a Game Engine in Unity;Game engine using Unity;Advanced;Games
49;Design an Esoteric Language;Create a weird esoteric programming language;Advanced;Algorithms and Data Structures
50;Dijkstra's Algorithm;Implement Dijkstra's algorithm;Intermediate;Algorithms and Data Structures
51;Dot & cross product of two vectors;Vector math;Beginner;Math and Physics
52;Double Pendulum Simulation;Simulate a double pendulum;Intermediate;Math and Physics
53;Download Manager;Create a program to manage downloading files from the internet;Intermediate;Utilities
54;Dragon Quest or Basic RPG Engine;Simple RPG game engine;Intermediate;Games
55;Draw a spinning 3D Cube;Render a rotating 3D cube;Intermediate;Computer Graphics
56;Dungeons & Dragons with AI;D&D game with AI dungeon master;Advanced;AI/ML
57;Encrypt a File, and Upload it online;Encrypt files client-side before uploading;Intermediate;Security and Encryption
58;Encrypt & Decrypt Text;Encrypt and decrypt text;Beginner;Security and Encryption
59;Encrypting data in images;Steganography to hide data in images;Intermediate;Security and Encryption
60;Encryption & decryption algorithm;Encrypt and decrypt data;Intermediate;Security and Encryption
61;English Sentence Parser that Points to the Context of a Sentence;Parse English sentences and identify contextual references;Intermediate;AI/ML
62;Enigma simulator with a configuration file;Simulate Enigma machine;Advanced;Security and Encryption
63;Eulerian Path;Find Eulerian path in a graph;Advanced;Algorithms and Data Structures
64;FTP client;FTP client;Intermediate;Networking and Communication
65;Factorial;Calculate factorials;Beginner;Math and Physics
66;Fibonacci sequence;Generate Fibonacci sequence;Beginner;Math and Physics
67;File Compression Utility;Compress files;Intermediate;Utilities
68;First-Person Engine in OpenGL;3D first-person game engine;Advanced;Computer Graphics
69;FizzBuzz;FizzBuzz challenge;Beginner;Algorithms and Data Structures
70;Flappy Bird;Clone of Flappy Bird game;Beginner;Games
71;Flow in a network;Calculate max flow in a network;Advanced;Networking and Communication
72;Fourier transform;Implement Fourier transform;Advanced;Math and Physics
73;Game of Life;Conway's Game of Life simulation;Intermediate;AI/ML
74;Geekcode generator;Generate Geekcode signature;Beginner;Utilities
75;General Lambert's-Problem Solver;Solve Lambert's orbital mechanics problem;Advanced;Math and Physics
76;Generate ASCII tree;Print ASCII tree;Intermediate;Utilities
77;Generate a 5-Color Scheme from the most dominant tones in any image;Extract color scheme from an image;Intermediate;Computer Graphics
78;Generate a Complimentary Color from any input color;Find complementary colors;Intermediate;Computer Graphics
79;Genetic algorithms on polygons;Evolve polygons with genetic algorithms;Advanced;AI/ML
80;Given an Array of Stock's values over time, find the period of time where the stocks could have made the most money;Find the best time to buy and sell stocks;Intermediate;AI/ML
81;Go;Go game;Intermediate;Games
82;Graphical analog clock;Analog clock GUI;Beginner;Utilities
83;Graphing Calculator;Make a calculator that can graph functions;Intermediate;Math and Physics
84;HTML + JavaScript Debugger;Debug HTML and JS code;Intermediate;Web Development
